Datum,Zinssatz
11.06.2025,"2,0"
10.06.2025,"2,25"
23.04.2025,"2,25"
22.04.2025,"2,5"
12.03.2025,"2,5"
11.03.2025,"2,75"
05.02.2025,"2,75"
04.02.2025,"3,0"
18.12.2024,"3,0"
17.12.2024,"3,25"
23.10.2024,"3,25"
22.10.2024,"3,5"
18.09.2024,"3,5"
17.09.2024,"3,75"
12.06.2024,"3,75"
11.06.2024,4
20.09.2023,4
19.09.2023,"3,75"
02.08.2023,"3,75"
01.08.2023,"3,5"
21.06.2023,"3,5"
20.06.2023,"3,25"
10.05.2023,"3,25"
09.05.2023,3
22.03.2023,3
21.03.2023,"2,5"
08.02.2023,"2,5"
07.02.2023,2
21.12.2022,2
20.12.2022,"1,5"
02.11.2022,"1,5"
01.11.2022,"0,75"
14.09.2022,"0,75"
13.09.2022,0
27.07.2022,0
26.07.2022,"−0,50"
18.09.2019,"−0,50"
17.09.2019,"−0,40"
16.03.2016,"−0,40"
15.03.2016,"−0,30"
09.12.2015,"−0,30"
08.12.2015,"−0,20"
10.09.2014,"−0,20"
09.09.2014,"−0,10"
11.06.2014,"−0,10"
10.06.2014,0
13.11.2013,0
12.11.2013,0
08.05.2013,0
07.05.2013,0
11.07.2012,0
10.07.2012,"0,25"
14.12.2011,"0,25"
13.12.2011,"0,5"
09.11.2011,"0,5"
08.11.2011,"0,75"
13.07.2011,"0,75"
12.07.2011,"0,5"
13.04.2011,"0,5"
12.04.2011,"0,25"
13.05.2009,"0,25"
12.05.2009,"0,25"
08.04.2009,"0,25"
07.04.2009,"0,5"
11.03.2009,"0,5"
10.03.2009,1
21.01.2009,1
20.01.2009,2
10.12.2008,2
09.12.2008,"2,75"
12.11.2008,"2,75"
11.11.2008,"3,25"
09.07.2008,"3,25"
08.07.2008,3
13.06.2007,3
12.06.2007,"2,75"
14.03.2007,"2,75"
13.03.2007,"2,5"
13.12.2006,"2,5"
12.12.2006,"2,25"
11.10.2006,"2,25"
10.10.2006,2
09.08.2006,2
08.08.2006,"1,75"
15.06.2006,"1,75"
14.06.2006,"1,5"
08.03.2006,"1,5"
07.03.2006,"1,25"
06.12.2005,"1,25"
05.12.2005,1
06.06.2003,1
05.06.2003,"1,5"
07.03.2003,"1,5"
06.03.2003,"1,75"
06.12.2002,"1,75"
05.12.2002,"2,25"
09.11.2001,"2,25"
08.11.2001,"2,75"
18.09.2001,"2,75"
17.09.2001,"3,25"
31.08.2001,"3,25"
30.08.2001,"3,5"
11.05.2001,"3,5"
10.05.2001,"3,75"
06.10.2000,"3,75"
05.10.2000,"3,5"
01.09.2000,"3,5"
31.08.2000,"3,25"
28.06.2000,"3,25"
27.06.2000,"3,25"
09.06.2000,"3,25"
08.06.2000,"2,75"
28.04.2000,"2,75"
27.04.2000,"2,5"
17.03.2000,"2,5"
16.03.2000,"2,25"
04.02.2000,"2,25"
03.02.2000,2
05.11.1999,2
04.11.1999,"1,5"
09.04.1999,"1,5"
08.04.1999,2
01.01.1999,2
