Tabelle: 61111-0001
Verbraucherpreisindex: Deutschland, Jahre;;
Verbraucherpreisindex für Deutschland;;;;
Deutschland;;;;
;Verbraucherpreisindex;;Veränderung zum Vorjahr;
;2020=100;2020=100;in (%);in (%)
1991;61,9;e;.;
1992;65,0;e;5,0;e
1993;67,9;e;4,5;e
1994;69,7;e;2,7;e
1995;71,0;e;1,9;e
1996;72,0;e;1,4;e
1997;73,4;e;1,9;e
1998;74,0;e;0,8;e
1999;74,5;e;0,7;e
2000;75,5;e;1,3;e
2001;77,0;e;2,0;e
2002;78,1;e;1,4;e
2003;78,9;e;1,0;e
2004;80,2;e;1,6;e
2005;81,5;e;1,6;e
2006;82,8;e;1,6;e
2007;84,7;e;2,3;e
2008;86,9;e;2,6;e
2009;87,2;e;0,3;e
2010;88,1;e;1,0;e
2011;90,0;e;2,2;e
2012;91,7;e;1,9;e
2013;93,1;e;1,5;e
2014;94,0;e;1,0;e
2015;94,5;e;0,5;e
2016;95,0;e;0,5;e
2017;96,4;e;1,5;e
2018;98,1;e;1,8;e
2019;99,5;e;1,4;e
2020;100,0;e;0,5;e
2021;103,1;e;3,1;e
2022;110,2;e;6,9;e
2023;116,7;e;5,9;e
2024;119,3;e;2,2;e
2025;121,9;e;2,2;e
__________
© Statistisches Bundesamt (Destatis), 2026
Stand: 11.05.2026 / 09:46:19
