DATE,TIME PERIOD,Deposit facility - date of changes (raw data) - Level (FM.D.U2.EUR.4F.KR.DFR.LEV),Marginal lending facility - date of changes (raw data) - Level (FM.D.U2.EUR.4F.KR.MLFR.LEV),Main refinancing operations - Minimum bid rate/fixed rate (date of changes) - Level (FM.D.U2.EUR.4F.KR.MRR_RT.LEV)
1999-01-01,01 Jan 1999,2.0,4.5,3.0
1999-01-04,04 Jan 1999,2.75,3.25,3.0
1999-01-22,22 Jan 1999,2.0,4.5,3.0
1999-04-09,09 Apr 1999,1.5,3.5,2.5
1999-11-05,05 Nov 1999,2.0,4.0,3.0
2000-02-04,04 Feb 2000,2.25,4.25,3.25
2000-03-17,17 Mar 2000,2.5,4.5,3.5
2000-04-28,28 Apr 2000,2.75,4.75,3.75
2000-06-09,09 Jun 2000,3.25,5.25,4.25
2000-09-01,01 Sep 2000,3.5,5.5,4.5
2000-10-06,06 Oct 2000,3.75,5.75,4.75
2001-05-11,11 May 2001,3.5,5.5,4.5
2001-08-31,31 Aug 2001,3.25,5.25,4.25
2001-09-18,18 Sep 2001,2.75,4.75,3.75
2001-11-09,09 Nov 2001,2.25,4.25,3.25
2002-12-06,06 Dec 2002,1.75,3.75,2.75
2003-03-07,07 Mar 2003,1.5,3.5,2.5
2003-06-06,06 Jun 2003,1.0,3.0,2.0
2005-12-06,06 Dec 2005,1.25,3.25,2.25
2006-03-08,08 Mar 2006,1.5,3.5,2.5
2006-06-15,15 Jun 2006,1.75,3.75,2.75
2006-08-09,09 Aug 2006,2.0,4.0,3.0
2006-10-11,11 Oct 2006,2.25,4.25,3.25
2006-12-13,13 Dec 2006,2.5,4.5,3.5
2007-03-14,14 Mar 2007,2.75,4.75,3.75
2007-06-13,13 Jun 2007,3.0,5.0,4.0
2008-07-09,09 Jul 2008,3.25,5.25,4.25
2008-10-08,08 Oct 2008,2.75,4.75,4.25
2008-10-09,09 Oct 2008,3.25,4.25,4.25
2008-10-15,15 Oct 2008,3.25,4.25,3.75
2008-11-12,12 Nov 2008,2.75,3.75,3.25
2008-12-10,10 Dec 2008,2.0,3.0,2.5
2009-01-21,21 Jan 2009,1.0,3.0,2.0
2009-03-11,11 Mar 2009,0.5,2.5,1.5
2009-04-08,08 Apr 2009,0.25,2.25,1.25
2009-05-13,13 May 2009,0.25,1.75,1.0
2011-04-13,13 Apr 2011,0.5,2.0,1.25
2011-07-13,13 Jul 2011,0.75,2.25,1.5
2011-11-09,09 Nov 2011,0.5,2.0,1.25
2011-12-14,14 Dec 2011,0.25,1.75,1.0
2012-07-11,11 Jul 2012,0.0,1.5,0.75
2013-05-08,08 May 2013,0.0,1.0,0.5
2013-11-13,13 Nov 2013,0.0,0.75,0.25
2014-06-11,11 Jun 2014,-0.1,0.4,0.15
2014-09-10,10 Sep 2014,-0.2,0.3,0.05
2015-12-09,09 Dec 2015,-0.3,0.3,0.05
2016-03-16,16 Mar 2016,-0.4,0.25,0.0
2019-09-18,18 Sep 2019,-0.5,0.25,0.0
2022-07-27,27 Jul 2022,0.0,0.75,0.5
2022-09-14,14 Sep 2022,0.75,1.5,1.25
2022-11-02,02 Nov 2022,1.5,2.25,2.0
2022-12-21,21 Dec 2022,2.0,2.75,2.5
2023-02-08,08 Feb 2023,2.5,3.25,3.0
2023-03-22,22 Mar 2023,3.0,3.75,3.5
2023-05-10,10 May 2023,3.25,4.0,3.75
2023-06-21,21 Jun 2023,3.5,4.25,4.0
2023-08-02,02 Aug 2023,3.75,4.5,4.25
2023-09-20,20 Sep 2023,4.0,4.75,4.5
2024-06-12,12 Jun 2024,3.75,4.5,4.25
2024-09-18,18 Sep 2024,3.5,3.9,3.65
2024-10-23,23 Oct 2024,3.25,3.65,3.4
2024-12-18,18 Dec 2024,3.0,3.4,3.15
2025-02-05,05 Feb 2025,2.75,3.15,2.9
2025-03-12,12 Mar 2025,2.5,2.9,2.65
2025-04-23,23 Apr 2025,2.25,2.65,2.4
2025-06-11,11 Jun 2025,2.0,2.4,2.15
