wohnlage,equipment_level,buildingyear_min,buildingyear_max,size_lower,size_upper,rent_sqm_min,rent_sqm_avg,rent_sqm_max,location_flag
low,,0,1918,0.0,39.99,5.56,7.99,13.11,ALL
low,,1919,1949,0.0,39.99,6.07,7.89,8.78,ALL
low,,1950,1964,0.0,39.99,5.6,6.5,9.13,ALL
low,,1965,1972,0.0,39.99,6.06,6.87,8.93,ALL
low,,1973,1990,0.0,39.99,7.51,7.65,8.95,West
low,,1973,1990,0.0,39.99,6.93,7.22,8.06,Ost
mid,,0,1918,0.0,39.99,6.79,8.52,12.37,ALL
mid,,1919,1949,0.0,39.99,6.51,7.74,8.64,ALL
mid,,1950,1964,0.0,39.99,5.71,6.93,9.15,ALL
mid,,1965,1972,0.0,39.99,5.95,6.64,8.33,ALL
mid,,1973,1990,0.0,39.99,5.39,7.82,8.25,West
mid,,1973,1990,0.0,39.99,6.52,7.01,7.31,Ost
good,,0,1918,0.0,39.99,6.61,11.57,14.39,ALL
good,,1919,1949,0.0,39.99,6.51,7.58,9.58,ALL
good,,1950,1964,0.0,39.99,6.43,7.55,9.41,ALL
good,,1965,1972,0.0,39.99,8.24,9.0,9.86,ALL
good,,1973,1990,0.0,39.99,7.55,8.4,10.2,West
good,,1973,1990,0.0,39.99,6.77,7.21,8.83,Ost
low,,0,1918,40.0,59.99,5.32,6.82,10.05,ALL
low,,1919,1949,40.0,59.99,5.48,6.47,8.28,ALL
low,,1950,1964,40.0,59.99,5.44,6.07,8.09,ALL
low,,1965,1972,40.0,59.99,5.11,5.94,7.09,ALL
low,,1973,1990,40.0,59.99,6.27,7.54,8.75,West
low,,1973,1990,40.0,59.99,5.78,6.08,6.62,Ost
low,,1991,2002,40.0,59.99,7.79,8.45,10.31,ALL
low,,2003,2017,40.0,59.99,9.81,11.74,15.28,ALL
mid,,0,1918,40.0,59.99,5.47,7.51,10.36,ALL
mid,,1919,1949,40.0,59.99,5.69,6.81,7.85,ALL
mid,,1950,1964,40.0,59.99,5.45,6.18,7.72,ALL
mid,,1965,1972,40.0,59.99,5.49,6.05,7.02,ALL
mid,,1973,1990,40.0,59.99,6.43,7.82,8.87,West
mid,,1973,1990,40.0,59.99,5.46,6.02,6.77,Ost
mid,,1991,2002,40.0,59.99,7.51,8.27,9.27,ALL
mid,,2003,2017,40.0,59.99,7.36,9.96,12.64,ALL
good,,0,1918,40.0,59.99,6.06,8.13,11.09,ALL
good,,1919,1949,40.0,59.99,6.08,6.98,9.24,ALL
good,,1950,1964,40.0,59.99,5.71,6.59,7.94,ALL
good,,1965,1972,40.0,59.99,5.35,7.21,10.11,ALL
good,,1973,1990,40.0,59.99,7.46,8.51,9.32,West
good,,1973,1990,40.0,59.99,5.89,6.08,7.04,Ost
good,,1991,2002,40.0,59.99,8.23,9.86,11.24,ALL
good,,2003,2017,40.0,59.99,7.84,9.99,12.11,ALL
low,,0,1918,60.0,89.99,4.88,6.4,10.11,ALL
low,,1919,1949,60.0,89.99,5.12,5.93,7.35,ALL
low,,1950,1964,60.0,89.99,4.88,5.64,6.88,ALL
low,,1965,1972,60.0,89.99,4.94,5.51,6.15,ALL
low,,1973,1990,60.0,89.99,6.15,7.35,9.1,West
low,,1973,1990,60.0,89.99,5.04,5.33,5.79,Ost
low,,1991,2002,60.0,89.99,6.3,7.8,8.68,ALL
low,,2003,2017,60.0,89.99,8.58,13.03,14.99,ALL
mid,,0,1918,60.0,89.99,4.89,6.84,10.11,ALL
mid,,1919,1949,60.0,89.99,5.15,6.31,7.4,ALL
mid,,1950,1964,60.0,89.99,5.34,6.07,7.16,ALL
mid,,1965,1972,60.0,89.99,5.14,5.77,6.47,ALL
mid,,1973,1990,60.0,89.99,5.76,8.09,9.21,West
mid,,1973,1990,60.0,89.99,4.65,5.33,5.82,Ost
mid,,1991,2002,60.0,89.99,6.8,7.99,9.13,ALL
mid,,2003,2017,60.0,89.99,9.01,10.2,12.33,ALL
good,,0,1918,60.0,89.99,5.68,7.57,11.04,ALL
good,,1919,1949,60.0,89.99,5.98,7.18,9.25,ALL
good,,1950,1964,60.0,89.99,5.56,6.61,8.46,ALL
good,,1965,1972,60.0,89.99,5.26,6.72,8.4,ALL
good,,1973,1990,60.0,89.99,6.68,8.41,9.95,West
good,,1973,1990,60.0,89.99,5.17,5.63,6.36,Ost
good,,1991,2002,60.0,89.99,7.53,9.19,11.14,ALL
good,,2003,2017,60.0,89.99,8.94,10.33,12.89,ALL
low,,0,1918,90.0,9999.0,4.84,6.3,9.24,ALL
low,,1919,1949,90.0,9999.0,5.2,6.2,7.24,ALL
low,,1965,1972,90.0,9999.0,4.94,5.53,6.12,ALL
