wohnlage,buildingyear_min,buildingyear_max,size_lower,size_upper,rent_sqm_min,rent_sqm_avg,rent_sqm_max,location_flag
low,0,1918,0.0,34.99,7.19,9.87,14.19,ALL
low,0,1918,35.0,39.99,6.83,9.08,13.08,ALL
low,0,1918,40.0,44.99,6.15,8.52,12.54,ALL
low,0,1918,45.0,54.99,6.1,8.02,11.19,ALL
low,0,1918,55.0,59.99,6.07,8.42,11.0,ALL
low,0,1918,60.0,89.99,5.29,6.96,10.39,ALL
low,0,1918,90.0,104.99,4.93,6.33,9.97,ALL
low,0,1918,105.0,9999.0,5.34,6.61,9.02,ALL
low,1919,1949,0.0,39.99,6.5,7.96,10.74,ALL
low,1919,1949,40.0,59.99,5.99,7.03,9.35,ALL
low,1919,1949,60.0,89.99,5.55,6.54,8.82,ALL
low,1919,1949,90.0,104.99,4.93,6.33,9.97,ALL
low,1919,1949,105.0,9999.0,5.34,6.61,9.02,ALL
low,1950,1964,0.0,39.99,6.5,7.96,10.74,ALL
low,1950,1964,40.0,59.99,5.99,7.03,9.35,ALL
low,1950,1964,60.0,9999.0,5.23,6.2,8.0,ALL
low,1965,1972,0.0,54.99,5.68,6.76,8.58,ALL
low,1965,1972,55.0,59.99,5.37,6.1,7.72,ALL
low,1965,1972,60.0,9999.0,5.22,5.87,7.18,ALL
low,1973,1985,0.0,54.99,5.68,6.76,8.58,West
low,1973,1985,55.0,59.99,5.37,6.1,7.72,West
low,1973,1985,60.0,89.99,5.77,6.54,8.51,West
low,1973,1985,90.0,9999.0,5.24,7.35,9.08,West
low,1986,1990,0.0,54.99,6.47,8.19,10.49,West
low,1986,1990,55.0,59.99,6.48,8.56,11.14,West
low,1986,1990,60.0,74.99,6.27,7.92,9.59,West
low,1986,1990,75.0,79.99,6.89,8.13,9.28,West
low,1986,1990,80.0,94.99,6.67,8.06,9.99,West
low,1986,1990,95.0,9999.0,6.59,8.38,9.96,West
low,1973,1990,0.0,39.99,6.66,7.16,8.89,Ost
low,1973,1990,40.0,59.99,5.74,6.25,7.28,Ost
low,1973,1990,60.0,69.99,5.07,5.37,6.06,Ost
low,1973,1990,70.0,9999.0,5.03,5.44,6.11,Ost
low,1991,2001,0.0,54.99,6.47,8.19,10.49,ALL
low,1991,2001,55.0,59.99,6.48,8.56,11.14,ALL
low,1991,2001,60.0,74.99,6.27,7.92,9.59,ALL
low,1991,2001,75.0,79.99,6.89,8.13,9.28,ALL
low,1991,2001,80.0,94.99,6.67,8.06,9.99,ALL
low,1991,2001,95.0,9999.0,6.59,8.38,9.96,ALL
low,2002,2009,0.0,54.99,6.47,8.19,10.49,ALL
low,2002,2009,55.0,59.99,6.48,8.56,11.14,ALL
low,2002,2009,60.0,74.99,6.27,7.92,9.59,ALL
low,2002,2009,75.0,79.99,6.89,8.13,9.28,ALL
low,2002,2009,80.0,94.99,6.67,8.06,9.99,ALL
low,2002,2009,95.0,9999.0,6.59,8.38,9.96,ALL
low,2010,2015,0.0,9999.0,7.24,9.98,14.48,ALL
low,2016,2022,0.0,59.99,7.62,12.41,16.66,ALL
