DATE,Deposit_Facility,Marginal_Lending,Main_Refinancing,Inflation_YoY,pindex_apt_purchase,pindex_apt_purchase_YoY,pindex_house_purchase,pindex_house_purchase_YoY,pindex_renting,pindex_renting_YoY
1999-01-01,2.0,4.5,3.0,0.7,,,,,,
1999-01-04,2.75,3.25,3.0,,,,,,,
1999-01-22,2.0,4.5,3.0,,,,,,,
1999-04-09,1.5,3.5,2.5,,,,,,,
1999-11-05,2.0,4.0,3.0,,,,,,,
2000-01-01,2.0,4.0,3.0,1.3,,,,,,
2000-02-04,2.25,4.25,3.25,,,,,,,
2000-03-17,2.5,4.5,3.5,,,,,,,
2000-04-28,2.75,4.75,3.75,,,,,,,
2000-06-09,3.25,5.25,4.25,,,,,,,
2000-09-01,3.5,5.5,4.5,,,,,,,
2000-10-06,3.75,5.75,4.75,,,,,,,
2001-01-01,3.75,5.75,4.75,2.0,,,,,,
2001-05-11,3.5,5.5,4.5,,,,,,,
2001-08-31,3.25,5.25,4.25,,,,,,,
2001-09-18,2.75,4.75,3.75,,,,,,,
2001-11-09,2.25,4.25,3.25,,,,,,,
2002-01-01,2.25,4.25,3.25,1.4,,,,,,
2002-12-06,1.75,3.75,2.75,,,,,,,
2003-01-01,1.75,3.75,2.75,1.0,,,,,,
2003-03-07,1.5,3.5,2.5,,,,,,,
2003-06-06,1.0,3.0,2.0,,,,,,,
2004-01-01,1.0,3.0,2.0,1.6,,,,,,
2005-01-01,1.0,3.0,2.0,1.6,,,,,,
2005-12-06,1.25,3.25,2.25,,,,,,,
2006-01-01,1.25,3.25,2.25,1.6,,,,,,
2006-03-08,1.5,3.5,2.5,,,,,,,
2006-06-15,1.75,3.75,2.75,,,,,,,
2006-08-09,2.0,4.0,3.0,,,,,,,
2006-10-11,2.25,4.25,3.25,,,,,,,
2006-12-13,2.5,4.5,3.5,,,,,,,
2007-01-01,2.5,4.5,3.5,2.3,,,,,,
2007-03-14,2.75,4.75,3.75,,,,,,,
2007-06-13,3.0,5.0,4.0,,,,,,,
2008-01-01,3.0,5.0,4.0,2.6,1295.7138,,1149.7922,,5.6136,
2008-07-09,3.25,5.25,4.25,,,,,,,
2008-10-08,2.75,4.75,4.25,,,,,,,
2008-10-09,3.25,4.25,4.25,,,,,,,
2008-10-15,3.25,4.25,3.75,,,,,,,
2008-11-12,2.75,3.75,3.25,,,,,,,
2008-12-10,2.0,3.0,2.5,,,,,,,
2009-01-01,2.0,3.0,2.5,0.3,1191.3314,-8.056,1082.3712,-5.8638,5.7812,2.9855
2009-01-21,1.0,3.0,2.0,,,,,,,
2009-03-11,0.5,2.5,1.5,,,,,,,
2009-04-08,0.25,2.25,1.25,,,,,,,
2009-05-13,0.25,1.75,1.0,,,,,,,
2010-01-01,0.25,1.75,1.0,1.0,1241.8092,4.2371,1098.5368,1.4935,5.8336,0.9076
2011-01-01,0.25,1.75,1.0,2.2,1277.636,2.885,1096.7957,-0.1585,5.9307,1.6635
2011-04-13,0.5,2.0,1.25,,,,,,,
2011-07-13,0.75,2.25,1.5,,,,,,,
2011-11-09,0.5,2.0,1.25,,,,,,,
2011-12-14,0.25,1.75,1.0,,,,,,,
2012-01-01,0.25,1.75,1.0,1.9,1356.7358,6.1911,1117.9779,1.9313,6.0406,1.8528
2012-07-11,0.0,1.5,0.75,,,,,,,
2013-01-01,0.0,1.5,0.75,1.5,1448.511,6.7644,1142.7173,2.2129,6.2793,3.9514
2013-05-08,0.0,1.0,0.5,,,,,,,
2013-11-13,0.0,0.75,0.25,,,,,,,
2014-01-01,0.0,0.75,0.25,1.0,1556.6977,7.4688,1185.395,3.7348,6.4501,2.7215
2014-06-11,-0.1,0.4,0.15,,,,,,,
2014-09-10,-0.2,0.3,0.05,,,,,,,
2015-01-01,-0.2,0.3,0.05,0.5,1695.2549,8.9007,1213.2898,2.3532,6.5543,1.6148
2015-12-09,-0.3,0.3,0.05,,,,,,,
2016-01-01,-0.3,0.3,0.05,0.5,1722.6827,1.6179,1260.808,3.9165,6.7531,3.0326
2016-03-16,-0.4,0.25,0.0,,,,,,,
2017-01-01,-0.4,0.25,0.0,1.5,1896.4976,10.0898,1322.0697,4.8589,7.2828,7.8446
2018-01-01,-0.4,0.25,0.0,1.8,2081.8297,9.7723,1457.1903,10.2204,7.7645,6.6145
2019-01-01,-0.4,0.25,0.0,1.4,2301.3826,10.5461,1510.2541,3.6415,8.201,5.6207
2019-09-18,-0.5,0.25,0.0,,,,,,,
2020-01-01,-0.5,0.25,0.0,0.5,2662.7771,15.7034,1697.7823,12.417,8.448,3.0125
2021-01-01,-0.5,0.25,0.0,3.1,2953.9465,10.9348,1860.8986,9.6076,8.7305,3.3442
2022-01-01,-0.5,0.25,0.0,6.9,3208.6803,8.6235,2135.1506,14.7376,8.913,2.0897
2022-07-27,0.0,0.75,0.5,,,,,,,
2022-09-14,0.75,1.5,1.25,,,,,,,
2022-11-02,1.5,2.25,2.0,,,,,,,
2022-12-21,2.0,2.75,2.5,,,,,,,
