kid2019,pindex2008,NOBS2008,pindex2009,NOBS2009,pindex2010,NOBS2010,pindex2011,NOBS2011,pindex2012,NOBS2012,pindex2013,NOBS2013,pindex2014,NOBS2014,pindex2015,NOBS2015,pindex2016,NOBS2016,pindex2017,NOBS2017,pindex2018,NOBS2018,pindex2019,NOBS2019,pindex2020,NOBS2020,pindex2021,NOBS2021,pindex2022,NOBS2022,pindex2023,NOBS2023,pindex2024,NOBS2024,pindex2025,NOBS2025,avg_return_all_time,avg_return_10yr,avg_return_5yr,return_2009,return_2010,return_2011,return_2012,return_2013,return_2014,return_2015,return_2016,return_2017,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023,return_2024,return_2025,dataset_type
01001,899.868,447,840.359,447,758.64,260,917.58,391,885.337,295,1051.37,263,1241.494,272,1063.013,278,1255.478,206,1300.899,229,1563.0,185,1472.986,184,1513.494,218,1986.284,216,2463.259,222,2213.255,306,2101.247,242,2164.37,94,6.2,8.19,8.61,-6.6131,-9.7243,20.9506,-3.5139,18.7536,18.0835,-14.3763,18.1056,3.6178,20.1477,-5.7591,2.7501,31.2383,24.0134,-10.1493,-5.0608,3.0041,apt_purchase
01002,989.189,1102,940.008,1212,1006.786,813,1079.324,790,1176.723,745,1372.882,842,1456.949,1081,1402.743,787,1571.094,932,1740.64,862,1901.16,778,2054.068,670,2310.896,535,2754.797,580,3048.613,669,2740.288,986,2552.723,1359,2631.839,512,6.24,6.86,3.2,-4.9719,7.104,7.2049,9.0241,16.6699,6.1234,-3.7205,12.0016,10.7916,9.2219,8.0429,12.5034,19.209,10.6656,-10.1136,-6.8447,3.0993,apt_purchase
01003,1155.542,792,1047.305,889,1142.586,633,1152.021,889,1375.289,674,1311.495,788,1391.027,649,1542.673,625,1616.685,393,1927.762,526,2058.219,672,2506.583,548,2709.924,477,3139.933,439,3425.094,464,3410.017,815,3362.727,1126,3521.851,370,7.11,8.86,5.57,-9.3668,9.0977,0.8258,19.3805,-4.6386,6.0642,10.9017,4.7976,19.2417,6.7673,21.7841,8.1123,15.8679,9.0818,-0.4402,-1.3868,4.732,apt_purchase
01004,764.769,192,714.929,338,1314.647,2656,1151.898,581,822.662,204,801.954,289,739.012,260,786.596,246,908.61,191,914.849,179,907.884,188,1139.218,329,1319.06,172,1687.305,87,1968.968,109,1657.713,175,1657.685,165,1695.081,55,7.07,8.78,6.21,-6.517,83.885,-12.3797,-28.582,-2.5172,-7.8486,6.4389,15.5116,0.6867,-0.7613,25.4806,15.7864,27.9172,16.6931,-15.808,-0.0017,2.2559,apt_purchase
01051,1094.346,314,1049.074,347,1076.782,221,1003.888,373,1191.691,412,1219.271,422,1270.678,593,1336.906,470,1532.278,364,1440.272,324,1644.626,302,1656.082,212,2186.192,179,2639.66,154,3509.531,123,2806.695,202,2688.278,257,2848.986,151,6.65,9.09,7.09,-4.1369,2.6412,-6.7696,18.7076,2.3144,4.2162,5.212,14.6137,-6.0045,14.1886,0.6966,32.0099,20.7424,32.9539,-20.0265,-4.2191,5.9781,apt_purchase
01053,1029.132,489,923.382,634,932.784,476,1024.063,453,1028.473,416,1114.977,470,1223.079,460,1252.638,393,1261.762,274,1346.029,323,1386.064,367,1674.03,291,1793.813,332,2136.937,268,2468.306,292,2350.363,316,2358.068,314,2538.971,156,5.74,7.62,7.57,-10.2756,1.0182,9.7857,0.4306,8.4109,9.6954,2.4168,0.7284,6.6785,2.9743,20.7758,7.1554,19.1282,15.5067,-4.7783,0.3278,7.6717,apt_purchase
01054,2650.343,1341,2486.452,1158,2612.908,748,2821.821,795,3015.203,704,3577.41,843,4524.856,1289,4154.421,866,4095.563,826,4515.479,739,5185.84,792,4504.62,663,4894.161,524,5524.397,390,7100.576,385,6770.087,604,6215.702,909,5612.848,438,5.22,3.81,3.77,-6.1838,5.0858,7.9954,6.8531,18.6457,26.4841,-8.1867,-1.4168,10.2529,14.8458,-13.1362,8.6476,12.8773,28.5312,-4.6544,-8.1887,-9.6989,apt_purchase
01055,1533.391,3066,1422.112,2324,1413.381,1768,1522.08,1937,1613.388,1812,1654.523,2421,1752.845,2118,1726.696,1735,1836.667,1378,2007.388,1154,2330.239,1265,2537.002,889,2770.032,818,3733.279,676,4257.245,750,3913.103,1576,3875.463,1988,3952.563,833,6.14,9.16,8.35,-7.2571,-0.6139,7.6907,5.9989,2.5496,5.9426,-1.4918,6.3689,9.2952,16.0831,8.873,9.1853,34.7739,14.035,-8.0837,-0.9619,1.9894,apt_purchase
01056,1036.294,1468,1004.239,1615,1023.69,1195,1101.56,1194,1223.856,1115,1287.022,1247,1343.4,1518,1416.207,1318,1496.729,932,1663.418,1552,1831.82,1393,1998.579,950,2195.012,814,2623.526,706,2959.455,755,2658.97,1200,2520.575,1364,2655.602,541,5.92,6.82,4.47,-3.0932,1.9369,7.6068,11.1021,5.1612,4.3805,5.4196,5.6858,11.1369,10.1239,9.1035,9.8286,19.5222,12.8045,-10.1534,-5.2048,5.357,apt_purchase
01057,1206.378,548,1150.062,619,1035.65,461,1181.035,517,1217.157,482,1257.806,582,1319.355,649,1326.249,488,1577.778,445,1691.078,523,1862.968,497,2002.584,371,2078.017,254,2639.675,310,3110.852,310,2774.561,662,2992.87,778,2781.754,221,5.51,8.25,6.98,-4.6682,-9.9483,14.038,3.0585,3.3397,4.8934,0.5225,18.9654,7.181,10.1645,7.4943,3.7668,27.0286,17.8498,-10.8103,7.8682,-7.054,apt_purchase
