kid2019,pindex2008,NOBS2008,pindex2009,NOBS2009,pindex2010,NOBS2010,pindex2011,NOBS2011,pindex2012,NOBS2012,pindex2013,NOBS2013,pindex2014,NOBS2014,pindex2015,NOBS2015,pindex2016,NOBS2016,pindex2017,NOBS2017,pindex2018,NOBS2018,pindex2019,NOBS2019,pindex2020,NOBS2020,pindex2021,NOBS2021,pindex2022,NOBS2022,pindex2023,NOBS2023,pindex2024,NOBS2024,pindex2025,NOBS2025,avg_return_all_time,avg_return_10yr,avg_return_5yr,return_2009,return_2010,return_2011,return_2012,return_2013,return_2014,return_2015,return_2016,return_2017,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023,return_2024,return_2025,dataset_type
01001,943.601,384,945.707,388,944.149,325,1090.129,416,1030.331,415,1062.443,382,1190.075,395,1222.353,299,1296.207,209,1412.705,239,1491.649,233,1602.712,172,1832.28,164,2211.763,262,2558.644,158,2163.733,456,2140.351,493,2077.597,238,5.13,5.93,3.39,0.2232,-0.1647,15.4615,-5.4854,3.1167,12.0131,2.7123,6.042,8.9876,5.5881,7.4457,14.3237,20.711,15.6835,-15.4344,-1.0806,-2.9319,house_purchase
01002,1056.118,1099,1057.247,1092,1060.519,692,1096.737,672,1221.732,502,1214.582,565,1258.998,638,1354.967,545,1588.734,451,1662.346,499,1809.768,419,1863.295,164,2268.455,244,2431.496,367,2868.286,272,2398.217,561,2581.587,1054,2563.199,345,5.71,7.12,3.14,0.1069,0.3095,3.4151,11.397,-0.5852,3.6569,7.6226,17.2526,4.6334,8.8683,2.9577,21.7443,7.1873,17.9638,-16.3885,7.6461,-0.7123,house_purchase
01003,1098.953,1169,1049.788,1147,1047.886,1092,1076.192,1125,1166.556,1042,1308.894,1260,1320.76,1008,1384.617,944,1415.552,738,1569.315,746,2019.853,805,1966.603,358,2234.573,553,2657.184,466,3069.36,447,2679.45,1083,2657.918,1316,2701.74,654,5.87,7.54,4.51,-4.4738,-0.1812,2.7012,8.3966,12.2016,0.9066,4.8349,2.2342,10.8624,28.7092,-2.6363,13.626,18.9124,15.5118,-12.7033,-0.8036,1.6487,house_purchase
01004,861.773,395,807.145,401,834.768,1822,863.496,611,882.254,462,960.687,453,1006.259,487,1116.109,386,995.223,332,1098.36,327,1155.032,339,1307.983,192,1488.692,199,1963.921,293,1986.791,250,1844.66,495,2098.816,677,2146.016,233,5.94,7.37,8.39,-6.339,3.4223,3.4414,2.1723,8.8901,4.7437,10.9167,-10.831,10.3632,5.1597,13.2421,13.8159,31.9226,1.1645,-7.1538,13.7779,2.2489,house_purchase
01051,734.367,1928,709.474,1448,712.874,1484,758.085,1652,762.838,1724,734.123,1795,731.125,1684,760.939,1524,808.821,1222,876.041,1233,988.87,1206,1023.356,730,1136.091,1030,1521.238,816,1688.168,914,1618.562,1390,1715.802,2368,1594.807,657,5.04,8.17,7.94,-3.3897,0.4792,6.3421,0.627,-3.7642,-0.4084,4.0778,6.2925,8.3109,12.8794,3.4874,11.0162,33.9011,10.9733,-4.1232,6.0078,-7.0518,house_purchase
01053,1026.984,2422,965.462,2730,952.206,2125,1012.511,2087,1071.543,1818,1012.725,1994,1067.354,2002,1073.654,2246,1092.213,2147,1114.285,1905,1443.509,1026,1599.519,606,1877.436,822,2266.094,712,2707.969,875,2280.235,1844,2175.519,1715,2163.561,737,5.06,8.07,3.85,-5.9906,-1.373,6.3332,5.8303,-5.4891,5.3943,0.5902,1.7286,2.0209,29.5458,10.8077,17.375,20.7015,19.4994,-15.7954,-4.5923,-0.5497,house_purchase
01054,1721.817,2661,1479.424,2560,1641.748,1984,1575.971,1996,1725.889,1877,1956.677,2165,2294.894,2456,1759.567,3035,1777.336,2636,2337.642,1989,2435.2,1786,2308.285,1426,2572.138,1587,3430.676,985,3252.091,1238,3273.489,2030,3016.821,2831,3102.961,1048,4.5,6.68,4.77,-14.0777,10.9721,-4.0065,9.5127,13.3721,17.2853,-23.3269,1.0099,31.525,4.1734,-5.2117,11.4307,33.3784,-5.2055,0.658,-7.8408,2.8553,house_purchase
01055,985.402,3408,971.074,2535,999.206,2377,1066.822,2634,1083.411,2669,1150.629,2625,1155.575,2546,1096.685,2865,1303.211,1846,1273.856,2162,1584.875,1462,1610.236,1039,1954.239,1091,2175.629,1052,2755.025,912,2649.381,2581,2648.409,3328,2217.399,1401,5.48,8.18,3.56,-1.454,2.897,6.767,1.555,6.2043,0.4299,-5.0962,18.8318,-2.2525,24.4156,1.6002,21.3635,11.3287,26.6312,-3.8346,-0.0367,-16.2743,house_purchase
01056,1147.401,3841,1160.097,3389,1186.655,2720,1231.802,2918,1320.323,2297,1316.964,2433,1445.004,2630,1563.131,2065,1668.853,1925,1759.377,2315,1966.263,2280,2030.211,1182,2280.266,1251,2898.251,1159,3023.776,1467,2756.518,2847,2911.773,3135,2878.287,1150,5.8,6.66,5.42,1.1065,2.2893,3.8046,7.1863,-0.2544,9.7224,8.1749,6.7635,5.4243,11.759,3.2523,12.3167,27.1014,4.3311,-8.8386,5.6323,-1.15,house_purchase
01057,962.973,1635,919.146,1703,968.689,1313,972.421,1115,980.423,1134,1073.776,1311,1045.925,1364,1123.569,1043,1271.506,760,1233.529,1012,1429.464,925,1690.672,622,1666.343,676,1921.716,679,2436.965,542,2284.553,1252,2494.12,2976,2558.603,1123,6.29,9.05,9.53,-4.5512,5.3901,0.3853,0.8229,9.5217,-2.5937,7.4235,13.1667,-2.9868,15.8841,18.2731,-1.439,15.3254,26.8119,-6.2542,9.1732,2.5854,house_purchase
01058,906.307,3374,855.363,3316,891.669,2906,924.117,3066,918.862,2415,961.976,2502,987.963,2679,985.327,2370,1043.414,2055,1138.312,1981,1258.015,1701,1386.819,1186,1432.892,1497,1894.347,1070,2068.27,1139,1931.861,2878,2065.477,4471,1990.041,1445,5.06,7.71,7.61,-5.6211,4.2445,3.639,-0.5687,4.6921,2.7014,-0.2668,5.8952,9.095,10.5158,10.2387,3.3222,32.2045,9.1812,-6.5953,6.9164,-3.6522,house_purchase
01059,813.876,2627,771.697,2508,790.385,2194,824.445,2335,856.545,2203,892.128,2385,918.662,2462,892.775,2275,936.699,1599,995.095,2003,1171.204,1636,1126.451,1332,1321.48,1496,1793.224,1061,1979.322,1247,1788.032,2823,1926.044,4006,1867.45,1325,5.48,8.34,8.22,-5.1825,2.4217,4.3093,3.8935,4.1542,2.9742,-2.8179,4.9199,6.2342,17.6977,-3.8211,17.3136,35.6982,10.3778,-9.6644,7.7187,-3.0422,house_purchase
01060,1028.108,3842,1019.615,3981,991.809,3787,1049.164,3327,1102.105,2479,1148.738,2414,1153.245,2750,1196.633,2357,1398.603,2183,1322.285,2249,1597.891,1838,1797.961,1136,1985.639,1296,2267.064,1689,2612.238,1428,2354.271,2713,2376.438,3577,2466.222,1295,5.6,7.95,4.85,-0.8261,-2.7271,5.7829,5.046,4.2313,0.3923,3.7623,16.8782,-5.4567,20.8432,12.5209,10.4384,14.173,15.2256,-9.8753,0.9416,3.7781,house_purchase
