kid2019,pindex2008,NOBS2008,pindex2009,NOBS2009,pindex2010,NOBS2010,pindex2011,NOBS2011,pindex2012,NOBS2012,pindex2013,NOBS2013,pindex2014,NOBS2014,pindex2015,NOBS2015,pindex2016,NOBS2016,pindex2017,NOBS2017,pindex2018,NOBS2018,pindex2019,NOBS2019,pindex2020,NOBS2020,pindex2021,NOBS2021,pindex2022,NOBS2022,pindex2023,NOBS2023,pindex2024,NOBS2024,pindex2025,NOBS2025,avg_return_all_time,avg_return_10yr,avg_return_5yr,return_2009,return_2010,return_2011,return_2012,return_2013,return_2014,return_2015,return_2016,return_2017,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023,return_2024,return_2025,dataset_type
01001,4.613,1227,4.803,1251,4.972,1642,4.921,1425,4.992,1606,5.203,1886,5.337,2221,5.51,2052,5.899,1580,6.183,1364,6.421,1237,6.752,1252,7.121,1730,7.267,1830,7.508,1179,7.799,1168,8.129,1381,8.479,696,3.66,4.41,3.56,4.1188,3.5186,-1.0257,1.4428,4.2268,2.5754,3.2415,7.0599,4.8144,3.8493,5.155,5.465,2.0503,3.3164,3.8759,4.2313,4.3056,renting
01002,5.068,5914,5.323,5068,5.372,5241,5.558,4987,5.616,4911,5.775,4733,6.081,5444,6.049,5730,6.216,4835,6.945,3086,7.181,3750,7.213,4435,7.612,3704,7.809,3394,8.376,2488,8.508,5109,9.011,6187,9.555,2846,3.84,4.72,4.67,5.0316,0.9205,3.4624,1.0435,2.8312,5.2987,-0.5262,2.7608,11.7278,3.3981,0.4456,5.5317,2.588,7.2609,1.5759,5.9121,6.0371,renting
01003,5.132,2937,5.245,2911,5.453,3384,5.508,4073,5.608,4328,5.735,4152,5.88,4482,6.05,3242,6.156,3037,6.681,2034,7.056,2188,7.198,2053,7.783,2017,8.007,2047,8.571,1347,9.123,1830,9.354,2817,9.872,1190,3.95,5.05,4.89,2.2019,3.9657,1.0086,1.8155,2.2646,2.5283,2.8912,1.7521,8.5283,5.6129,2.0125,8.1273,2.8781,7.0438,6.4403,2.5321,5.5377,renting
01004,4.489,997,4.614,1312,4.61,1581,4.673,1708,4.787,1806,4.772,1755,4.92,2785,4.971,1678,5.287,1093,5.589,955,5.743,798,5.897,720,6.075,890,6.362,788,6.84,551,7.082,711,7.452,860,7.571,375,3.14,4.31,4.52,2.7846,-0.0867,1.3666,2.4395,-0.3133,3.1014,1.0366,6.3569,5.7121,2.7554,2.6815,3.0185,4.7243,7.5134,3.538,5.2245,1.5969,renting
01051,4.429,407,4.294,505,4.423,514,4.523,662,4.526,746,4.565,687,4.692,781,4.801,615,4.909,537,5.246,497,5.445,500,5.55,374,5.7,583,6.327,694,6.907,478,7.293,543,7.758,586,8.011,262,3.6,5.29,7.08,-3.0481,3.0042,2.2609,0.0663,0.8617,2.782,2.3231,2.2495,6.8649,3.7934,1.9284,2.7027,11.0,9.1671,5.5885,6.376,3.2611,renting
01053,5.005,1614,5.037,2093,5.183,2364,5.143,2347,5.311,2671,5.406,2381,5.644,2271,5.887,1757,6.072,1578,6.306,1039,6.668,1383,7.087,1484,7.307,1290,7.624,1319,7.957,945,8.327,1203,8.658,1286,9.22,663,3.68,4.59,4.76,0.6394,2.8986,-0.7718,3.2666,1.7887,4.4025,4.3055,3.1425,3.8538,5.7406,6.2837,3.1043,4.3383,4.3678,4.65,3.975,6.4911,renting
01054,4.927,566,4.671,608,4.818,660,5.161,696,5.761,762,6.098,990,5.707,1412,5.894,1054,6.058,754,6.743,739,6.594,844,6.911,524,6.929,683,7.402,641,8.411,405,9.512,406,10.055,455,12.055,245,5.62,7.61,11.83,-5.1959,3.1471,7.1191,11.6257,5.8497,-6.4119,3.2767,2.7825,11.3074,-2.2097,4.8074,0.2605,6.8264,13.6315,13.09,5.7086,19.8906,renting
01055,5.396,1368,5.336,1393,5.423,1498,5.497,1736,5.671,1736,5.725,1982,5.788,2036,6.101,1361,6.118,986,6.346,872,6.804,945,7.187,753,7.551,968,8.154,768,8.658,621,9.401,951,9.863,1108,10.097,552,3.79,5.2,6.01,-1.1119,1.6304,1.3646,3.1654,0.9522,1.1004,5.4077,0.2786,3.7267,7.2171,5.629,5.0647,7.9857,6.181,8.5817,4.9144,2.3725,renting
01056,5.971,3259,5.995,3708,6.067,3942,6.195,3701,6.397,3553,6.484,3933,6.709,4024,6.654,3629,6.898,2826,7.105,3086,7.423,2932,7.769,2811,8.008,3066,8.252,3141,8.631,2374,8.984,2460,9.666,2923,10.052,1321,3.13,4.22,4.66,0.4019,1.201,2.1098,3.2607,1.36,3.4701,-0.8198,3.667,3.0009,4.4757,4.6612,3.0763,3.047,4.5928,4.0899,7.5913,3.9934,renting
01057,4.966,985,4.875,1004,4.952,838,5.057,1224,5.333,1022,5.325,1150,5.495,1092,5.76,925,5.693,619,6.207,557,6.462,426,6.841,371,7.367,500,7.408,458,7.665,367,8.282,518,8.55,720,9.119,321,3.69,4.75,4.39,-1.8325,1.5795,2.1204,5.4578,-0.15,3.1925,4.8226,-1.1632,9.0286,4.1083,5.8651,7.6889,0.5565,3.4692,8.0496,3.2359,6.655,renting
